id,location,latitude,longitude,time_of_day,weather,road_type,traffic_density,accident_count,risk_level
1437,Beltarodi,21.05574,79.02496,11,Clear,Flyover,Medium,7,Medium
1438,Koradi,21.25101,79.01287,19,Clear,Highway,Low,5,Medium
1439,Butibori,20.97461,79.04824,2,Haze,Highway,Low,6,High
1440,MIDC Hingna,21.08163,79.00175,15,Haze,Urban,High,6,Medium
1441,Sitabuldi Junction,21.14125,79.07065,2,Clear,Urban,Low,5,Medium
1442,Wardha Road,21.08485,79.04589,6,Clear,Ring Road,High,11,Medium
1443,Hingna T Point,21.08279,78.97708,21,Rain,Highway,Medium,3,High
1444,Chatrapati Square,21.10067,79.08262,9,Rain,Ring Road,High,6,Medium
1445,Ravi Nagar,21.12287,79.04573,12,Fog,Flyover,Medium,4,Medium
1446,Dharampeth,21.11413,79.07132,18,Clear,Junction,High,3,Medium
1447,Civil Lines,21.13689,79.0801,1,Cloudy,Flyover,Low,5,Medium
1448,Trimurti Nagar,21.12623,79.04949,16,Fog,Junction,Medium,4,High
1449,Pratap Nagar,21.12312,79.03572,14,Cloudy,Junction,Medium,4,Medium
1450,Zero Mile,21.13522,79.08783,15,Fog,Junction,Medium,4,Medium
1451,Itwari,21.16711,79.08912,1,Clear,Urban,Medium,3,Medium
1452,Sadar,21.14199,79.08335,8,Haze,Flyover,High,5,Medium
1453,Nandanvan,21.14843,79.1286,19,Haze,Junction,Medium,3,Medium
1454,Mankapur,21.12188,79.03787,8,Rain,Highway,Medium,5,Medium
1455,Nagpur Railway Stn,21.14062,79.08409,9,Clear,City Road,Low,2,Low
1456,Ambazari,21.14199,78.9851,14,Fog,City Road,Low,2,Low
1457,Beltarodi,21.08217,79.032,4,Rain,Urban,Medium,6,High
1458,Koradi,21.24056,79.00997,23,Rain,Highway,Medium,3,High
1459,Butibori,20.95459,79.06124,4,Clear,Junction,Low,6,High
1460,MIDC Hingna,21.09976,78.99945,3,Rain,City Road,Medium,5,High
1461,Sitabuldi Junction,21.14017,79.0874,20,Clear,Urban,High,5,Medium
1462,Wardha Road,21.10027,79.04873,21,Clear,Junction,Low,2,Medium
1463,Hingna T Point,21.10687,78.97168,11,Rain,Urban,Low,8,Medium
1464,Chatrapati Square,21.11599,79.09298,2,Cloudy,Highway,Medium,4,Medium
1465,Ravi Nagar,21.11826,79.05426,23,Rain,City Road,High,4,High
1466,Dharampeth,21.13745,79.06805,7,Cloudy,Urban,High,6,Low
1467,Civil Lines,21.14765,79.0676,6,Rain,Ring Road,Low,2,Low
1468,Trimurti Nagar,21.14011,79.06645,13,Fog,City Road,Medium,2,Medium
1469,Pratap Nagar,21.12262,79.03782,14,Haze,Highway,High,4,Medium
1470,Zero Mile,21.14166,79.07103,14,Fog,Flyover,Medium,5,Medium
1471,Itwari,21.14087,79.10558,7,Haze,Junction,Low,5,Medium
1472,Sadar,21.16639,79.08651,13,Rain,City Road,Medium,1,Medium
1473,Nandanvan,21.14616,79.13536,4,Rain,Urban,High,8,High
1474,Mankapur,21.10985,79.04407,17,Cloudy,Urban,Low,6,Low
1475,Nagpur Railway Stn,21.16275,79.07507,15,Rain,Ring Road,Medium,6,Medium
1476,Ambazari,21.13048,78.99576,20,Clear,Urban,High,4,Medium
1477,Beltarodi,21.0539,79.03912,8,Cloudy,Urban,High,3,Low
1478,Koradi,21.25609,79.00236,0,Fog,City Road,Medium,3,Medium
1479,Butibori,20.98256,79.06395,21,Cloudy,Highway,High,3,High
1480,MIDC Hingna,21.07299,78.99901,2,Fog,Junction,Medium,1,High
1481,Sitabuldi Junction,21.13527,79.07704,11,Rain,City Road,Medium,2,Medium
1482,Wardha Road,21.08847,79.06558,19,Clear,Junction,Medium,9,Medium
1483,Hingna T Point,21.0905,78.97445,22,Clear,City Road,Low,2,Low
1484,Chatrapati Square,21.13391,79.0828,1,Cloudy,Junction,High,4,High
1485,Ravi Nagar,21.14947,79.05652,13,Clear,Highway,Low,2,Low
1486,Dharampeth,21.1385,79.05462,16,Rain,City Road,Medium,1,Medium
1487,Civil Lines,21.1702,79.103,15,Rain,City Road,High,4,Medium
1488,Trimurti Nagar,21.14902,79.03299,19,Cloudy,Urban,High,4,Medium
1489,Pratap Nagar,21.11645,79.04356,16,Fog,Flyover,High,3,High
1490,Zero Mile,21.15791,79.08503,3,Clear,Urban,High,2,Medium
1491,Itwari,21.16412,79.09851,4,Fog,Ring Road,Low,4,Medium
1492,Sadar,21.16644,79.09913,21,Fog,City Road,High,4,High
1493,Nandanvan,21.13448,79.10479,13,Clear,Junction,Medium,4,Medium
1494,Mankapur,21.10411,79.03756,15,Cloudy,Urban,High,7,Low
1495,Nagpur Railway Stn,21.12902,79.08769,9,Clear,Ring Road,High,1,Low
1496,Ambazari,21.1175,79.00523,2,Clear,Junction,Low,2,Medium
1497,Beltarodi,21.07212,79.01703,6,Clear,Ring Road,Low,2,Low
1498,Koradi,21.26517,78.9865,1,Clear,Junction,High,4,High
1499,Butibori,20.9607,79.05054,23,Haze,Highway,Medium,1,High
1500,MIDC Hingna,21.09613,78.98936,11,Fog,Highway,Low,3,Medium
1501,Sitabuldi Junction,21.14872,79.10807,7,Clear,Ring Road,Medium,3,Low
1502,Wardha Road,21.10986,79.06206,2,Haze,Highway,Medium,7,High
1503,Hingna T Point,21.09906,78.96412,13,Rain,Junction,High,8,High
1504,Chatrapati Square,21.1328,79.09436,11,Fog,City Road,Low,3,Medium
1505,Ravi Nagar,21.15267,79.0579,16,Clear,Junction,Medium,4,Medium
1506,Dharampeth,21.12591,79.08639,21,Rain,City Road,High,5,High
1507,Civil Lines,21.14904,79.08567,20,Clear,Junction,High,2,High
1508,Trimurti Nagar,21.12745,79.04758,10,Clear,Junction,High,4,Medium
1509,Pratap Nagar,21.1234,79.06148,9,Cloudy,Highway,Medium,1,Medium
1510,Zero Mile,21.14333,79.07814,2,Fog,Highway,Medium,4,High
1511,Itwari,21.13979,79.10087,3,Fog,Flyover,Medium,4,High
1512,Sadar,21.15595,79.06388,3,Cloudy,Flyover,Medium,2,Medium
1513,Nandanvan,21.11542,79.11976,6,Rain,City Road,Low,3,Low
1514,Mankapur,21.1282,79.04966,5,Clear,Junction,Medium,3,Medium
1515,Nagpur Railway Stn,21.14904,79.07216,4,Fog,Urban,High,7,High
1516,Ambazari,21.12544,78.98009,10,Haze,Flyover,High,5,Medium
1517,Beltarodi,21.06931,79.04439,18,Clear,Ring Road,Medium,7,Medium
1518,Koradi,21.26397,78.98554,23,Fog,Urban,Medium,4,High
1519,Butibori,20.97738,79.03551,11,Cloudy,Ring Road,Medium,4,Low
1520,MIDC Hingna,21.10384,79.0043,3,Cloudy,Flyover,High,10,High
1521,Sitabuldi Junction,21.15652,79.08377,4,Haze,City Road,Medium,4,Medium
1522,Wardha Road,21.10803,79.05102,4,Haze,City Road,Low,3,Medium
1523,Hingna T Point,21.11227,78.97453,8,Rain,Junction,High,6,High
1524,Chatrapati Square,21.1397,79.09136,5,Cloudy,Junction,Medium,1,High
1525,Ravi Nagar,21.15032,79.04411,3,Fog,Ring Road,Medium,5,High
1526,Dharampeth,21.1107,79.06783,5,Clear,Highway,Low,6,Medium
1527,Civil Lines,21.15883,79.09427,4,Rain,Junction,Medium,2,High
1528,Trimurti Nagar,21.14231,79.0556,13,Clear,Urban,Medium,5,Low
1529,Pratap Nagar,21.11897,79.05254,21,Rain,Flyover,High,4,High
1530,Zero Mile,21.14344,79.07314,2,Rain,Highway,Low,5,High
1531,Itwari,21.15981,79.11265,21,Rain,Flyover,Medium,3,High
1532,Sadar,21.13942,79.06226,17,Fog,Urban,Low,1,Medium
1533,Nandanvan,21.13964,79.11277,20,Fog,Highway,Medium,7,High
1534,Mankapur,21.12981,79.03339,3,Clear,Junction,Low,7,Medium
1535,Nagpur Railway Stn,21.13813,79.08134,11,Clear,Junction,Low,3,Medium
1536,Ambazari,21.1444,79.00369,0,Rain,Junction,Medium,2,High
1537,Beltarodi,21.06902,79.04427,1,Clear,Highway,Medium,5,Medium
1538,Koradi,21.25214,78.98531,2,Rain,Flyover,Medium,1,High
1539,Butibori,20.9575,79.03683,23,Rain,Flyover,Medium,2,High
1540,MIDC Hingna,21.07437,78.99668,5,Clear,Junction,Medium,5,High
1541,Sitabuldi Junction,21.13608,79.08048,11,Cloudy,Junction,High,3,Medium
1542,Wardha Road,21.10913,79.04812,5,Clear,Junction,Medium,6,High
1543,Hingna T Point,21.11706,78.96253,1,Rain,City Road,Medium,8,High
1544,Chatrapati Square,21.10505,79.10524,5,Fog,Ring Road,Low,6,Medium
1545,Ravi Nagar,21.14548,79.05598,13,Cloudy,City Road,High,8,Low
1546,Dharampeth,21.12037,79.06237,12,Clear,City Road,Medium,4,Low
1547,Civil Lines,21.15158,79.10369,19,Cloudy,Junction,High,4,High
1548,Trimurti Nagar,21.13344,79.05856,3,Rain,Urban,Low,1,Medium
1549,Pratap Nagar,21.11658,79.05232,21,Fog,Flyover,Low,5,High
1550,Zero Mile,21.15491,79.07333,14,Clear,Highway,Medium,5,Medium
1551,Itwari,21.16786,79.08438,2,Rain,Highway,High,1,High
1552,Sadar,21.14526,79.09372,2,Clear,Urban,Medium,4,Medium
1553,Nandanvan,21.12873,79.12811,17,Haze,Highway,Low,7,Medium
1554,Mankapur,21.13529,79.02592,12,Cloudy,Urban,Medium,4,Low
1555,Nagpur Railway Stn,21.13391,79.09769,12,Clear,Junction,Medium,2,Medium
1556,Ambazari,21.13842,78.98884,6,Cloudy,Junction,Medium,4,Medium
1557,Beltarodi,21.08822,79.02254,3,Cloudy,Highway,High,3,High
1558,Koradi,21.23165,79.01919,10,Fog,Flyover,Medium,0,Medium
1559,Butibori,20.9634,79.05713,0,Rain,Highway,High,4,High
1560,MIDC Hingna,21.08402,79.01646,6,Fog,Junction,Low,3,Medium
1561,Sitabuldi Junction,21.1561,79.09429,18,Clear,City Road,Medium,5,Medium
1562,Wardha Road,21.09008,79.06349,6,Rain,Flyover,Medium,2,Medium
1563,Hingna T Point,21.10992,78.96756,12,Clear,Highway,Medium,4,Medium
1564,Chatrapati Square,21.12847,79.08627,2,Clear,Highway,High,3,High
1565,Ravi Nagar,21.1378,79.06499,20,Clear,City Road,High,3,Medium
1566,Dharampeth,21.13774,79.05179,14,Clear,Highway,Medium,4,Low
1567,Civil Lines,21.14957,79.07795,6,Rain,Junction,High,3,Medium
1568,Trimurti Nagar,21.14529,79.03367,18,Rain,City Road,Medium,8,Medium
1569,Pratap Nagar,21.11668,79.06572,0,Cloudy,Junction,High,4,High
1570,Zero Mile,21.13836,79.09403,19,Clear,Junction,Medium,5,Medium
1571,Itwari,21.17469,79.08235,16,Cloudy,Junction,High,9,Medium
1572,Sadar,21.16418,79.07442,2,Fog,City Road,Medium,5,Medium
1573,Nandanvan,21.14826,79.13934,20,Rain,Highway,High,2,High
1574,Mankapur,21.13003,79.02979,4,Clear,Highway,Medium,7,Medium
1575,Nagpur Railway Stn,21.14467,79.0952,6,Haze,City Road,Medium,3,Medium
1576,Ambazari,21.12097,78.97604,19,Fog,Ring Road,Low,1,Medium
1577,Beltarodi,21.07953,79.01126,16,Clear,Junction,High,5,Medium
1578,Koradi,21.25983,78.98827,17,Clear,Flyover,High,8,High
1579,Butibori,20.98273,79.06095,7,Cloudy,Junction,High,2,Medium
1580,MIDC Hingna,21.10323,78.99709,11,Haze,Highway,Medium,9,Medium
1581,Sitabuldi Junction,21.16168,79.10348,14,Clear,Flyover,Medium,3,Medium
1582,Wardha Road,21.08776,79.07594,21,Clear,Highway,Low,3,Medium
1583,Hingna T Point,21.10831,78.98894,13,Fog,City Road,Medium,1,Low
1584,Chatrapati Square,21.13979,79.10253,20,Rain,Ring Road,Low,10,High
1585,Ravi Nagar,21.15291,79.05653,7,Fog,Urban,Low,2,Low
1586,Dharampeth,21.1275,79.05092,20,Rain,Junction,Low,4,High
1587,Civil Lines,21.16822,79.07913,1,Clear,Urban,Medium,4,Medium
1588,Trimurti Nagar,21.14492,79.04969,6,Cloudy,Urban,Medium,4,Low
1589,Pratap Nagar,21.10487,79.04923,0,Rain,Urban,Medium,6,High
1590,Zero Mile,21.12966,79.07991,21,Clear,Urban,Medium,3,Medium
1591,Itwari,21.13797,79.10199,11,Rain,Urban,Medium,3,Medium
1592,Sadar,21.15747,79.06511,15,Fog,Junction,High,3,High
1593,Nandanvan,21.11753,79.1234,21,Clear,City Road,High,3,Medium
1594,Mankapur,21.13425,79.04807,21,Rain,Junction,Medium,2,High
1595,Nagpur Railway Stn,21.14596,79.07491,20,Clear,Highway,Low,1,Medium
1596,Ambazari,21.1204,78.98215,14,Fog,Highway,Low,5,Medium
1597,Beltarodi,21.08593,79.03108,4,Fog,Urban,High,2,High
1598,Koradi,21.23318,79.0104,4,Clear,Junction,Low,4,Medium
1599,Butibori,20.95417,79.06586,7,Fog,Urban,Low,4,Low
1600,MIDC Hingna,21.09033,79.00064,0,Clear,Junction,High,0,High
1601,Sitabuldi Junction,21.13478,79.10613,3,Fog,Ring Road,Medium,3,Medium
1602,Wardha Road,21.09964,79.05088,4,Haze,Highway,High,5,High
1603,Hingna T Point,21.10021,78.9612,17,Haze,Junction,Medium,3,High
1604,Chatrapati Square,21.13687,79.09458,3,Fog,City Road,Low,4,Medium
1605,Ravi Nagar,21.14504,79.03647,6,Haze,Junction,Low,7,Medium
1606,Dharampeth,21.12631,79.08085,2,Cloudy,Junction,Medium,4,High
1607,Civil Lines,21.15203,79.08035,11,Rain,Highway,Medium,2,Medium
1608,Trimurti Nagar,21.12808,79.05955,7,Cloudy,City Road,Medium,3,Low
1609,Pratap Nagar,21.12005,79.0442,13,Clear,Ring Road,High,5,Low
1610,Zero Mile,21.16547,79.08732,18,Rain,City Road,Low,5,Medium
1611,Itwari,21.14188,79.10818,14,Rain,City Road,High,5,Medium
1612,Sadar,21.14564,79.06405,8,Rain,City Road,Low,2,Low
1613,Nandanvan,21.12538,79.11615,17,Clear,Urban,Medium,6,Medium
1614,Mankapur,21.12735,79.05918,19,Haze,Urban,High,6,Medium
1615,Nagpur Railway Stn,21.16403,79.10442,10,Clear,City Road,Low,1,Low
1616,Ambazari,21.1423,78.98741,6,Rain,Urban,Low,5,Low
1617,Beltarodi,21.06447,79.01745,12,Clear,Ring Road,High,4,Low
1618,Koradi,21.26393,79.01804,1,Haze,Junction,High,7,High
1619,Butibori,20.95152,79.03604,19,Cloudy,Junction,High,5,High
1620,MIDC Hingna,21.10007,79.00622,8,Rain,Ring Road,Low,3,Low
1621,Sitabuldi Junction,21.13725,79.10348,15,Clear,Ring Road,Low,4,Low
1622,Wardha Road,21.08998,79.06901,6,Clear,City Road,Medium,7,Low
1623,Hingna T Point,21.10181,78.9688,12,Rain,City Road,Medium,7,Medium
1624,Chatrapati Square,21.10947,79.11291,13,Rain,Ring Road,Low,6,Medium
1625,Ravi Nagar,21.13437,79.06884,20,Rain,Junction,Low,6,High
1626,Dharampeth,21.11859,79.07362,12,Clear,City Road,High,3,Medium
1627,Civil Lines,21.15527,79.10008,3,Cloudy,Junction,High,4,High
1628,Trimurti Nagar,21.12656,79.0577,3,Clear,Highway,High,2,High
1629,Pratap Nagar,21.12828,79.03219,3,Rain,Junction,Medium,3,High
1630,Zero Mile,21.15061,79.10744,17,Cloudy,Flyover,Medium,5,Medium
1631,Itwari,21.14491,79.11625,11,Clear,Junction,Medium,4,Medium
1632,Sadar,21.13405,79.0672,9,Cloudy,Highway,Low,0,Low
1633,Nandanvan,21.11032,79.11773,3,Rain,Highway,High,5,High
1634,Mankapur,21.13493,79.02683,9,Rain,City Road,High,4,Medium
1635,Nagpur Railway Stn,21.14126,79.08993,22,Rain,City Road,Low,4,Medium
1636,Ambazari,21.13368,78.99399,0,Clear,Highway,Medium,5,Medium
1637,Beltarodi,21.08204,79.03914,3,Cloudy,Urban,High,5,Medium
1638,Koradi,21.26887,78.98715,16,Clear,Flyover,Medium,4,Low
1639,Butibori,20.9674,79.05526,7,Clear,Ring Road,High,6,Low
1640,MIDC Hingna,21.08241,78.99737,14,Haze,Flyover,Medium,3,Medium
1641,Sitabuldi Junction,21.16161,79.09561,1,Fog,Urban,High,0,High
1642,Wardha Road,21.07156,79.07949,19,Fog,Junction,Low,5,Medium
1643,Hingna T Point,21.09681,78.99542,15,Rain,City Road,High,4,Medium
1644,Chatrapati Square,21.13031,79.08862,10,Rain,Junction,High,4,Medium
1645,Ravi Nagar,21.15379,79.06947,14,Fog,Flyover,High,2,High
1646,Dharampeth,21.12392,79.05903,17,Haze,Flyover,Medium,3,Medium
1647,Civil Lines,21.14207,79.10087,23,Clear,Junction,Low,4,Medium
1648,Trimurti Nagar,21.14684,79.05601,4,Clear,Highway,Medium,5,Medium
1649,Pratap Nagar,21.13287,79.04397,15,Clear,Urban,High,2,Low
1650,Zero Mile,21.13779,79.07496,7,Clear,City Road,Low,6,Low
1651,Itwari,21.14194,79.11628,15,Rain,Urban,Medium,5,Medium
1652,Sadar,21.15795,79.071,22,Fog,Ring Road,Low,4,Medium
1653,Nandanvan,21.11963,79.12273,11,Rain,Highway,Low,6,Medium
1654,Mankapur,21.10013,79.02187,13,Clear,Junction,Medium,2,Medium
1655,Nagpur Railway Stn,21.14231,79.09842,1,Clear,Ring Road,High,3,Medium
1656,Ambazari,21.13042,78.99669,3,Clear,Junction,Low,5,Medium
1657,Beltarodi,21.0683,79.04958,18,Clear,Urban,Medium,5,Low
1658,Koradi,21.26858,78.9869,12,Rain,City Road,Medium,6,Medium
1659,Butibori,20.97377,79.04004,13,Rain,Urban,High,3,Medium
1660,MIDC Hingna,21.0721,79.00317,16,Rain,Highway,Medium,8,Medium
1661,Sitabuldi Junction,21.12596,79.08788,13,Rain,Highway,Medium,4,Medium
1662,Wardha Road,21.09356,79.06743,20,Clear,Ring Road,Medium,4,Medium
1663,Hingna T Point,21.09801,78.99101,9,Fog,City Road,Medium,3,Medium
1664,Chatrapati Square,21.11995,79.09898,0,Rain,City Road,Low,7,Medium
1665,Ravi Nagar,21.12497,79.06206,8,Rain,Highway,High,1,Medium
1666,Dharampeth,21.12299,79.08728,22,Cloudy,Ring Road,Medium,7,Medium
1667,Civil Lines,21.15701,79.09691,12,Clear,Flyover,High,3,Medium
1668,Trimurti Nagar,21.12784,79.0284,2,Rain,Urban,High,2,Medium
1669,Pratap Nagar,21.11816,79.05609,5,Cloudy,City Road,Low,1,Low
1670,Zero Mile,21.15101,79.0958,11,Fog,Urban,High,6,Medium
1671,Itwari,21.1758,79.10976,14,Cloudy,City Road,Low,1,Low
1672,Sadar,21.16636,79.06319,2,Clear,City Road,High,3,Medium
1673,Nandanvan,21.13055,79.10579,13,Clear,Flyover,High,3,Medium
1674,Mankapur,21.12839,79.03451,6,Clear,Junction,Medium,5,Medium
1675,Nagpur Railway Stn,21.16132,79.08109,16,Clear,City Road,Medium,3,Low
1676,Ambazari,21.11311,78.97298,4,Haze,Highway,High,6,High
1677,Beltarodi,21.06762,79.03809,19,Haze,Highway,Low,3,Medium
1678,Koradi,21.25758,79.01612,8,Fog,Junction,High,5,High
1679,Butibori,20.95675,79.04686,20,Haze,City Road,Low,3,Medium
1680,MIDC Hingna,21.10582,78.99703,3,Clear,Junction,Low,5,High
1681,Sitabuldi Junction,21.13269,79.0974,5,Clear,Ring Road,Medium,5,Medium
1682,Wardha Road,21.08568,79.04279,3,Cloudy,Junction,Low,6,Medium
1683,Hingna T Point,21.11828,78.99455,23,Cloudy,Flyover,Low,1,Medium
1684,Chatrapati Square,21.1126,79.09769,18,Clear,City Road,Low,3,Low
1685,Ravi Nagar,21.14338,79.04657,8,Clear,Flyover,Medium,2,Medium
1686,Dharampeth,21.13839,79.05301,0,Cloudy,Highway,Low,12,Medium
1687,Civil Lines,21.16397,79.08473,14,Cloudy,Ring Road,Medium,5,Low
1688,Trimurti Nagar,21.12563,79.03959,22,Clear,Junction,Medium,6,High
1689,Pratap Nagar,21.12005,79.03725,9,Rain,Urban,High,7,Medium
1690,Zero Mile,21.12932,79.08189,3,Fog,City Road,High,6,High
1691,Itwari,21.17402,79.10203,19,Rain,Ring Road,Low,8,Medium
1692,Sadar,21.13944,79.08105,3,Clear,Urban,Medium,6,Medium
1693,Nandanvan,21.13782,79.12851,1,Fog,Junction,Medium,2,High
1694,Mankapur,21.13387,79.05955,15,Fog,Ring Road,Medium,5,Medium
1695,Nagpur Railway Stn,21.14768,79.08246,14,Rain,Ring Road,Low,2,Low
1696,Ambazari,21.13474,78.97092,4,Haze,Ring Road,Medium,2,Medium
1697,Beltarodi,21.08605,79.03545,22,Rain,Junction,Medium,4,High
1698,Koradi,21.23963,78.99382,23,Clear,Urban,Medium,3,Medium
1699,Butibori,20.97612,79.03742,11,Cloudy,Highway,Low,3,Low
1700,MIDC Hingna,21.07473,79.01509,21,Rain,Ring Road,High,4,High
1701,Sitabuldi Junction,21.13066,79.06834,12,Haze,Highway,Low,3,Medium
1702,Wardha Road,21.10358,79.07463,21,Cloudy,Highway,Medium,4,Medium
1703,Hingna T Point,21.10646,78.96666,8,Haze,City Road,High,3,Medium
1704,Chatrapati Square,21.13096,79.10465,9,Clear,Flyover,Low,5,Low
1705,Ravi Nagar,21.11595,79.05581,8,Clear,Flyover,High,6,Medium
1706,Dharampeth,21.11545,79.06427,8,Cloudy,Flyover,Medium,7,Medium
1707,Civil Lines,21.15582,79.08936,21,Cloudy,Urban,Low,6,Medium
1708,Trimurti Nagar,21.13862,79.06053,22,Fog,Urban,Medium,0,Medium
1709,Pratap Nagar,21.1104,79.03651,11,Rain,Ring Road,High,2,Medium
1710,Zero Mile,21.13676,79.10257,17,Clear,Ring Road,High,2,Medium
1711,Itwari,21.1528,79.08566,22,Cloudy,Highway,Low,4,Medium
1712,Sadar,21.14909,79.07195,0,Clear,Junction,Medium,3,High
1713,Nandanvan,21.11146,79.11745,11,Clear,Highway,Medium,5,Medium
1714,Mankapur,21.12826,79.03668,14,Rain,Flyover,Medium,7,Medium
1715,Nagpur Railway Stn,21.14322,79.08279,21,Fog,Junction,High,3,High
1716,Ambazari,21.10918,78.9696,17,Rain,City Road,High,2,Medium
1717,Beltarodi,21.07682,79.01871,4,Rain,City Road,High,4,High
1718,Koradi,21.24013,79.01676,0,Clear,Junction,High,3,High
1719,Butibori,20.98919,79.03474,8,Fog,Junction,Medium,3,Medium
1720,MIDC Hingna,21.10713,78.98952,4,Clear,City Road,Medium,1,Medium
1721,Sitabuldi Junction,21.15929,79.08092,3,Rain,Flyover,Medium,4,High
1722,Wardha Road,21.09648,79.0581,15,Clear,Urban,High,6,Medium
1723,Hingna T Point,21.08741,78.96825,5,Clear,Highway,Medium,2,Medium
1724,Chatrapati Square,21.10735,79.11493,8,Clear,City Road,Medium,7,Low
1725,Ravi Nagar,21.11784,79.04834,6,Cloudy,Junction,High,6,Medium
1726,Dharampeth,21.13318,79.08263,17,Fog,Flyover,Low,2,Medium
1727,Civil Lines,21.14613,79.10455,18,Clear,Urban,Medium,4,Medium
1728,Trimurti Nagar,21.15348,79.03447,22,Clear,Junction,Medium,6,High
1729,Pratap Nagar,21.1304,79.04581,2,Rain,Ring Road,Medium,6,High
1730,Zero Mile,21.15359,79.1043,16,Clear,City Road,High,4,Low
1731,Itwari,21.16362,79.09577,14,Haze,Ring Road,High,5,Medium
1732,Sadar,21.15458,79.09402,17,Haze,Flyover,High,3,High
1733,Nandanvan,21.11537,79.11565,9,Fog,Urban,Medium,6,Medium
1734,Mankapur,21.11661,79.05062,11,Clear,City Road,High,3,Low
1735,Nagpur Railway Stn,21.13585,79.07172,6,Clear,Junction,Medium,5,Medium
1736,Ambazari,21.12244,78.99306,8,Rain,Junction,Medium,6,Medium
1737,Beltarodi,21.07669,79.04826,9,Fog,City Road,Low,3,Low
1738,Koradi,21.25653,79.01923,4,Rain,City Road,Medium,8,High
1739,Butibori,20.95781,79.03136,2,Clear,Highway,High,2,High
1740,MIDC Hingna,21.0862,79.01218,2,Rain,Highway,Medium,3,High
1741,Sitabuldi Junction,21.14701,79.08996,9,Fog,Ring Road,Low,1,Low
1742,Wardha Road,21.07147,79.05042,9,Rain,Ring Road,Medium,4,Medium
1743,Hingna T Point,21.08081,78.98171,13,Clear,Urban,High,5,Low
1744,Chatrapati Square,21.11929,79.10518,0,Fog,City Road,Low,5,Medium
1745,Ravi Nagar,21.12229,79.05611,2,Clear,Ring Road,High,4,Medium
1746,Dharampeth,21.13022,79.08094,6,Clear,City Road,Low,5,Low
1747,Civil Lines,21.13213,79.07628,22,Cloudy,Junction,High,7,High
1748,Trimurti Nagar,21.12506,79.04292,12,Clear,City Road,Medium,3,Low
1749,Pratap Nagar,21.11976,79.0441,7,Clear,Urban,Medium,4,Low
1750,Zero Mile,21.15054,79.08127,17,Cloudy,Highway,High,1,Medium
1751,Itwari,21.17768,79.11937,1,Clear,Highway,Medium,3,Medium
1752,Sadar,21.16757,79.07853,3,Haze,Junction,Low,7,High
1753,Nandanvan,21.11892,79.11131,17,Clear,Urban,High,5,Medium
1754,Mankapur,21.13047,79.04006,3,Rain,Junction,Medium,5,High
1755,Nagpur Railway Stn,21.15866,79.1005,19,Rain,Ring Road,Low,3,Medium
1756,Ambazari,21.13479,79.00901,15,Cloudy,Junction,Medium,6,Medium
1757,Beltarodi,21.05048,79.02329,22,Clear,Junction,High,5,High
1758,Koradi,21.2342,78.99438,3,Rain,Junction,Low,5,High
1759,Butibori,20.95286,79.03348,16,Clear,Ring Road,High,8,Medium
1760,MIDC Hingna,21.07353,79.01882,23,Clear,Urban,Low,2,Medium
1761,Sitabuldi Junction,21.12988,79.1042,14,Rain,Ring Road,Medium,7,Medium
1762,Wardha Road,21.07038,79.05323,9,Fog,Highway,Low,2,Medium
1763,Hingna T Point,21.08604,78.99294,19,Rain,Urban,Medium,2,Medium
1764,Chatrapati Square,21.13657,79.08165,10,Rain,Flyover,Medium,4,Medium
1765,Ravi Nagar,21.14241,79.03997,6,Clear,Junction,Medium,3,Medium
1766,Dharampeth,21.1207,79.07724,5,Haze,Junction,Low,5,High
1767,Civil Lines,21.15514,79.10445,3,Clear,Junction,Low,3,Medium
1768,Trimurti Nagar,21.12723,79.06473,7,Rain,Highway,Low,2,Medium
1769,Pratap Nagar,21.11894,79.05521,5,Rain,City Road,Medium,6,Medium
1770,Zero Mile,21.16161,79.07318,19,Haze,Highway,High,1,Medium
1771,Itwari,21.13869,79.11753,3,Cloudy,City Road,Low,6,Medium
1772,Sadar,21.1616,79.0636,14,Fog,Urban,Low,3,Low
1773,Nandanvan,21.13087,79.10647,1,Fog,Urban,Low,2,Medium
1774,Mankapur,21.10603,79.03692,4,Haze,Junction,Medium,1,High
1775,Nagpur Railway Stn,21.16384,79.06555,20,Clear,City Road,Medium,6,Medium
1776,Ambazari,21.10797,78.97563,0,Clear,Highway,Medium,5,Medium
1777,Beltarodi,21.07801,79.04987,0,Fog,Urban,Medium,7,High
1778,Koradi,21.24967,78.99296,21,Rain,City Road,Low,3,Medium
1779,Butibori,20.96649,79.04229,1,Rain,Ring Road,Medium,3,Medium
1780,MIDC Hingna,21.10895,79.00972,8,Fog,City Road,High,7,Medium
1781,Sitabuldi Junction,21.14918,79.07673,20,Cloudy,Junction,High,3,High
1782,Wardha Road,21.08499,79.07734,8,Clear,Highway,High,3,Medium
1783,Hingna T Point,21.08378,78.98961,13,Clear,Urban,High,8,Low
1784,Chatrapati Square,21.13159,79.09363,6,Cloudy,Flyover,Medium,4,Medium
1785,Ravi Nagar,21.1249,79.03869,18,Rain,Ring Road,High,2,Medium
1786,Dharampeth,21.11568,79.08007,2,Clear,Urban,High,5,Medium
1787,Civil Lines,21.1403,79.07333,18,Haze,City Road,Medium,4,Medium
1788,Trimurti Nagar,21.13749,79.04149,1,Clear,Junction,Medium,5,High
